Transaction ID,Sale Date,BuyerID,Price,Coupon Code,Discount Amount,Currency,Date Paid,VAT Paid by Buyer,SKU
2222222265,2/8/2021,B11,20,,0,USD,2/8/2021,0,P001
2222222133,20/8/2021,B05,20,OPENINGSALE08082021,4,USD,20/8/2021,0,P001
2222222269,20/8/2021,A11,20,SALE01,4,USD,20/8/2021,0,P001
2222222129,2/9/2021,A04,20,,0,USD,2/9/2021,0,P001
2222222261,8/9/2021,A10,20,,0,USD,8/9/2021,0,P001
2222222257,9/9/2021,B10,20,,0,USD,9/9/2021,0,P001
2222222117,17/9/2021,B03,30,FLASH20,6,USD,17/9/2021,0,P004
2222222253,17/9/2021,A09,30,FLASH20,6,USD,17/9/2021,0,P004
2222222113,22/9/2021,A02,22,,0,USD,22/9/2021,0,P001
2222222105,19/10/2021,B15,28,,0,USD,19/10/2021,0,P010
2222222241,19/10/2021,B08,28,,0,USD,19/10/2021,0,P010
2222222097,2/11/2021,B14,28,,0,USD,2/11/2021,0,P010
2222222233,2/11/2021,B07,28,,0,USD,2/11/2021,0,P010
2222222093,11/11/2021,A13,35,SALE111121,8.75,USD,11/11/2021,0,P001
2222222229,11/11/2021,A06,35,SALE111121,8.75,USD,11/11/2021,0,P001
2222222089,16/11/2021,B13,28,,0,USD,16/11/2021,0,P010
2222222225,16/11/2021,B06,28,,0,USD,16/11/2021,0,P010
2222222077,24/11/2021,A11,28,cyber2021,7,USD,24/11/2021,0,P010
2222222213,24/11/2021,A04,28,CYBER2021,7,USD,24/11/2021,0,P010
2222222065,2/12/2021,B10,28,,0,USD,2/12/2021,0,P010
2222222201,2/12/2021,B03,28,,0,USD,2/12/2021,0,P010
2222222061,3/12/2021,A09,28,,0,USD,3/12/2021,0,P010
2222222197,3/12/2021,A02,28,,0,USD,3/12/2021,0,P010
2222222057,6/12/2021,B09,40,,0,USD,6/12/2021,0,P003
2222222193,6/12/2021,A12,40,,0,USD,6/12/2021,0,P003
2222222053,7/12/2021,A08,28,,0,USD,7/12/2021,0,P010
2222222189,7/12/2021,B12,28,,0,USD,7/12/2021,0,P010
2222222049,8/12/2021,B08,28,,0,USD,8/12/2021,0,P012
2222222185,8/12/2021,A11,28,,0,USD,8/12/2021,0,P012
2222222037,9/12/2021,A06,28,,0,USD,9/12/2021,0,P010
2222222045,9/12/2021,A07,28,,0,USD,9/12/2021,0,P010
2222222173,9/12/2021,B10,28,,0,USD,9/12/2021,0,P010
2222222181,9/12/2021,B11,28,,0,USD,9/12/2021,0,P010
2222222169,10/12/2021,A09,55,,0,USD,10/12/2021,0,P013
2222222141,16/12/2021,B06,28,,0,USD,16/12/2021,0,P010
2222222145,16/12/2021,A06,35,,0,USD,16/12/2021,0,P001
2222222149,16/12/2021,B07,28,,0,USD,16/12/2021,0,P010
2222222137,18/12/2021,A05,55,,0,USD,18/12/2021,0,P013
2216831439,19/1/2022,A01,28,,0,USD,19/1/2022,0,P010
